,youtube_id,comment,like_num
0,김동현,"맨시티가 항소에 실패한다면 당분간 빅6는 교체가 될거 같네요
성공한다면 진짜 프리미어리그는 빅6와 더불어 뉴캐슬 에버튼 레스터 울버햄튼 등등 누구든 유럽대항전에 도전할 수 있는 리그가 되겠네요",12개
1,김비버,와 다 돌아왔는데.... 징계가 관건이겠네요 정말로!!! 맨시티에게는 이번달이 운명의 달!,6개
2,김경민,오 사네 오랜만이다,9개
3,김민규,미러에서 cas소스 따르면 징계결과 아마 2달 가까이 걸릴거라는데 어떻게 될지 모르겠네요,3개
4,서준,❣❤❤❤❣❤❣❤❣❤,6개
5,풍수지리야,티켓따면뭐하누 코로나때매 내가볼때 몇년은못함,2개
6,하재림,"진짜 맨시티 팬으로써,, 걱정이되구  기다려지네요 결과가,ㅠ",10개
7,Hanami,배가놈: 자네!!,5개
8,김미란,오 맨시티편!,5개
9,정채혁,항상 좋은 정보 주셔서 감사합니다!,3개
10,ComeOnYouFootball,Come on CITY!,11개
11,God자카,4번재 포메이션 오른쪽수비누구에요 선터백,4개
12,IKK,CTID💙💙💙,3개
13,강꿀91,진짜 축구 정보/전달력 등 대한민국 원탑입니다 달수형님👍,0개
14,김시형,맨시티 더블스쿼드..ㄷㄷ,1개
15,설영자,문성님!매번 좋은 정보 감사합니다.건강 조심 하시길.,0개
16,채원우,맨시티 잘하지만 아르테타의 아스날도 잘해서 힘든경기 예상해봅니다,0개
17,쿠쿠쿠,프랑스리그 네덜란드리그는 리그를 중단했는데 챔스는 정상적으로 참여하나요,0개
18,정대만,덕배 ㅎ파이팅,1개
19,이름,제발 ㅠㅠ,1개
20,채정래,속보티모베르너리버풀안가첼시이적,0개
21,GGLi,"맨시티는 감독도 최상급이구 선수진도 촤상급에 깊이까지 있으니. 선수층이 두꺼우니 부상염려  별로 안해도 되겠네요. (김덕배가 다치면 큰 문제지만)  맨시티 팬분들, 부럽습니다.",0개
22,박승곤,맨시티 리뷰 영상 감사합니다!,0개
23,더킹,리로이 자네,0개
24,현승,ㅎㄷㄷ,0개
25,we고노리치,로드리는 a들어가도될듯,1개
26,민국김,리버풀도 해주세요,0개
27,에덴아자르,라리가쪽은 안해주시나요?,0개
28,박서로,칸셀루 사놓고 몇경기 뛴거죠,0개
29,lewdaniel,1,1개
30,Tnalshall,달수님 베르너 이적 소식도 다뤄주세여!,0개
31,케첩우유,멘디 >>> 진첸코,0개
32,유정민,저 스쿼드에 1번째 공미에 덕배 다비드 실바에 스쿼드2에 윙에 베르나르두 실바 넣고 미필에 필포덴 넣으면 더 좋을것 같아요,0개
33,태태,지단 연속2회 16강딱 되서 경질하고 포치가묜 좋겠네,0개
34,카스박,코로나땜에 모든리그 부상선수들 전부 컴백이네...존잼이겟다,0개
35,김민성,스쿼드 미쳤는데..,0개
36,LBS,우주킹갓맨시티화이팅,3개
37,먹구름,"키야 순위 보니깐 누가 챔스 갈까 레스터, 첼시 는 무조건 갈것같은데.. 그다음이 ㅎㅎ",3개
38,채정래,티모베르너적응첼시실패모라타탄생,0개
39,성우,맨시티 부상선수복귀로 풀스쿼드로 리그전승하고 리버풀 부진해갖고 맨시가 우승하면 ㄹㅈㄷ,5개
40,sanchoJadon,갓시티,3개
41,한지현,학교가기싫다,4개
42,youngHarry,진짜 맨시티 챔스 못나가게 되면 사실상 맨유와 토트넘의 싸움,4개
43,IlSeokJeong,KDB가 왜 김덕배인가요? 홍길동 뭐 이런건가요?,0개
44,모바일,돈이 좋긴 하네 확진자 나와도 시즌 밀어 부치고 ㅎㅎㅎ,2개
45,못하면빠지자,징계 안먹을듯 돈찔러주면 얼씨구나 좋구나 할듯,0개
46,아리Ari,어짜피 우승은 리버풀!,3개
47,kdr,항상 이렇게 보면 라인업 빵빵한데 막상 경기하면 엄청 선수 없음,5개
48,생각좀하면서살자제발,MCFCOK,0개
49,블루,편법쓴거 봤을때는 징계를 먹는게 맞는거 아닌가 하는데 팹시티 챔스는 계속 보고싶긴하네요,0개
50,축신축황린가드,이건 징계 해야지ㅋㅋㅋㅋffp어기고 이적시장 개판내놓고ㅋㅋㅋㅋ,0개
51,마사오쥐명닭근혜,진짜 징계 제대로해라,0개
52,fkdlskfxm,"징계로 챔스출전불가에
조사결과 더 큰 룰위반과
괘씸죄로 4 부리그 추락
정도는 되야 볼만할텐데",0개
53,행복하지마요,징계확정되면 공준분해될듯,1개
54,yunseojung,징계 무족건 받아야한다!,0개
55,이종덕,맨유 팬으로써 제발 징계받았으며 좋겠다,3개
56,진연우,제발 징계,0개
57,정준기,"위반했으면 징계 받아야지. 만약에 만약에 징계 없어지면 맨유,첼시,울버햄튼,셰필드,토트넘 다 비상",1개
58,린가드,제발 맨유 챔스가게 챔스 출장정지 plz!!!!,1개
59,함초롱,강등되면 조켔다,0개
60,누구친구,FFP 룰을 오랜기간 어긴 시티는 징계해야한다,2개
61,동덩이,4부리그까지 가즈아,0개
