,youtube_id,comment,like_num
0,minkjin,제 캐네디언 칭구가 프란님 보고 성장기라 많이 먹을수 있는거녜욬ㅋㅋㅋㅋㅋㅋ 14-16살로 보더라구요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,58개
1,AngryBaldi,When there isn’t English subtitles..,8개
2,이예진,"표정이 맛있게 보여요👄
🤪😜😘♥️♥️♥️🙆‍♀️🙆‍♀️🙆‍♀️🙆‍♀️
보는 내내 군침이 꼴까닥 했네요
남은 시간도 행복하게 보내세요
🙋‍♀️안뇽👋 잘 봤어요",11개
3,김지영,저 뒷배경ㅠㅠㅠㅠ 언니 먹방 거의 초창기때 벽지 였는데ㅠㅠ 추억돋네요! 지금은 정말 누구든 아는 먹방 유튜버인 언니! 항상 응원해요❤️❤️❤️❤️,63개
4,CozeASMR,"chicken and cheesy corn, amazing combination Fran ❤️❤️",6개
5,즁,먼가 저 콘치즈는 그냥 콘치즈가 아니라 막 엄청 달아가지구 국물이 진국인 콘치즈같음 맛이 느껴져 아 괴롭다,76개
6,GitteEnjoyingfood,Looks so delicious my mouth drawling 🤗😍🤩🤣❤️ anyone know what flavor the chicken is? ❤️👍🏼,3개
7,으악,김치크림소면....아니면 된장국수 올만에 한 번만 더,22개
8,희재,ㅋㅋㅋㅋㅋㅋ진심 프란님 음식조합은 박수밖에 안나와여.. 봐도봐도 개쩐당,41개
9,김예빈,나도 콘치즈저렇게 퍼먹고싶다 ...,28개
10,,フランさんこんばんは😃チキン、チーズソース美味しそうだね😃韓国のチキンはとってもうまそう😋,3개
11,서다정,동네치킨 영상 자주올려주세요 최애영상임ㅜ,5개
12,뽀쇼랭,치킨 땡겨유ㅠ,4개
13,아임메IMMAE,"추억의 벽지!! 
치킨을 콘치즈에 찍어먹는 프란님은 역시 프로 중의 프로시네요...!!!",2개
14,이구마,맛난거+맛난거=완전맛난거~♥,29개
15,윤승주,오늘도 다이어트는 물 건너 갔습니다^^,30개
16,CLARASCORNER,aaaaaaaahhhh you make every food look so delicious when you eat theem😭🤣I love youu so much💓🦋,0개
17,VannieEats,Wow the chicken dipped in the corn cheese looks so amazing!!😍 my mouth is drooling!!,17개
18,EYasu,"0:10 start eating＝🍗

毎回食べてる食べ物が美味しそう😋🥰",4개
19,김수민,언니ㅠㅠㅠㅠ 지금 다이어트 중인데 김치크림볶름밥 한번더 먹어주실수 잇나여 ㅠㅠㅠ,1개
20,JINSOUKJANG,코밐ㅋㅋㅋ,1개
21,전예은,진심 조합천재...,0개
22,ASMRHEYA,"와 프란님ㅠㅜㅠ 오늘 메뉴도 너무 먹고싶어요,,,😋😭",0개
23,StellasRecipeFoodStylistTV,I’ve never seen such a huge amount of corn cheese 🧀 😆,0개
24,예림,"역시 조합잘알 우런니,,, 프란 최고",6개
25,Nathaniel1230,너무 배고파요ㅠㅠㅠㅠㅠㅠㅠㅠ,0개
26,수잔,와 조합 짱이다 ㅠㅠㅠㅠ,0개
27,동석ASMR,악 콘치즈 진짜좋아하는데 부랍 부럽...ㅜㅜ,0개
28,,くいてー,2개
29,뽀콩,콘치즈..............으아ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ,1개
30,Kimmy,흐ㅡ아 배고팠는데 업로드해주셔서 감사해요 대리만족 할게요.....,1개
31,ALMA,언니 진짜 음식조합...🤭😍👍👍👍👏👏,1개
32,소중한지민이,콘치즈ㅠㅠㅠㅠ맛있겠다ㅠㅡㅠ,0개
33,MelissaGutierrez,Nice❤❤❤,0개
34,Thanyakan1589,FC Thailand ♥️,0개
35,라면과콜라,"치킨만 드셨으면 심심할뻔 했는데 콘치즈까지 드시다니...
동네에서 주문했어요~ 이 말할때
프란님 사랑스러워서 어쩐데요 💖💖💖",15개
36,주민지,일등~~ 역쉬~~ 맛있게 드시네용~~ 건강도 챙기세요~,0개
37,shainaldovino,i really love ur mukbang videos 🥺,0개
38,남칼리,워매 콘치즈보소....먹구싶다으ㅠㅡㅠ,0개
39,GawonLee,프란 먹방이 진짜 최고다 !,0개
40,2,"いつも応援しています！韓国のキムチが大好きなんですが日本には美味しいキムチがありません。
日本からネットで韓国のキムチを買いたいんですが
何処か知りませんか？？",0개
41,김미주,아!!맛잇겟다!!!,1개
