닉네임,댓글,좋아요수,날짜
Gag펠존gaming,오 갑자기 야구나와서 놀랐었는데 유용한 정보 감사합니다,2개,2020. 5. 8.
jang2014,망원카메라는 쳐빠지고 광각카메라 화소수는 핑거스냅당함,2개,2020. 5. 8.
Gag펠존gaming,오 방금 벨뱃 광고 봤는데 뭔가 신기하네요,2개,2020. 5. 8.
월리,쿠팡에서 최대 20만원 할인 해서 품절된걸 보면 가격만 괜찮았어도 잘팔렸을것 같은데....,2개,2020. 5. 8.
물똥,엘지는 가전인가...?,1개,2020. 5. 8.
ac,카메라 큰기대는 하지마세요 평범합니다 네 평범,1개,2020. 5. 8.
jang2014,2빠,1개,2020. 5. 8.
FreshIGMjab,RIP,2개,2020. 5. 8.
Gag펠존gaming,"카메라도 다른 회사랑 외형이 다른걸 보면 항상 LG가 다르게 했다가 망했는데 또 망할수도 있을거 같네요
또 인덕션이 별로니까 좋은거네 라고 할수 있지만 노치때를 생각해보면 망할 가능성이 충분히 있을거라고는 생각하지만 아직모르죠 
이상 개인적인 의견이었습니다",2개,2020. 5. 8.
jang2014,AP성능이 전작인 G8보다 못함,1개,2020. 5. 8.
호요,중립기어 아무리 씨게박아봐야 애플이 이겻고 삼성이 이겼어 별무슨....ㅠ,0개,2020. 5. 8.
jang2014,G7 G8 안써보셨어요? 갓작인데?,1개,2020. 5. 8.
